127.0.0.1 - - [19/Mar/2021:09:10:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Mar/2021:09:10:13 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [19/Mar/2021:09:10:15 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [19/Mar/2021:09:10:21 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 935
0:0:0:0:0:0:0:1 - - [19/Mar/2021:09:10:39 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:21:29 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:21:36 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 500 6659
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:22:45 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:22:46 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:23:02 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:23:13 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:23:53 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8618
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:25:38 -0300] "GET /spring-mvc-demo/ HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:25:40 -0300] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:25:41 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [19/Mar/2021:10:25:51 -0300] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 279
